name,price,description,category,color,type,images,videos
Red Rose,45500,"Beautiful red rose perfect for any occasion. Freshly cut and carefully arranged by our expert florists. Each rose is hand-selected for its vibrant color and perfect bloom.",flowers,red,Rose,"/images/flowers/red/red-1.jpg|/images/flowers/red/red-2.jpg","/videos/red-rose-demo.mp4"
White Lily,39000,"Elegant white lily for special moments. Symbol of purity and beauty, perfect for weddings, anniversaries, or memorial services. Long-lasting blooms with intoxicating fragrance.",flowers,white,Lily,"/images/flowers/white/white-1.jpg","/videos/white-lily-demo.mp4"
Pink Peony,52000,"Gorgeous pink peony for celebrations. Large, lush blooms that make a stunning statement. Perfect for birthdays, graduations, or any special celebration.",flowers,pink,Peony,"/images/flowers/pink/pink-1.jpg|/images/flowers/pink/pink-2.jpg","/videos/pink-peony-demo.mp4"
Yellow Sunflower,26000,"Bright and cheerful yellow sunflower. Brings sunshine to any room with its large, vibrant blooms. Perfect for lifting spirits and brightening days.",flowers,yellow,Sunflower,"/images/flowers/yellow/yellow-1.jpg",""
Mixed Bouquet,78000,"Beautiful mixed bouquet featuring a variety of seasonal flowers. Hand-arranged by our expert florists to create a stunning display of colors and textures.",flowers,mixed,Bouquet,"/images/flowers/mixed/mixed-1.jpg|/images/flowers/mixed/mixed-2.jpg","/videos/mixed-bouquet-demo.mp4"
Luxury Perfume,125000,"Premium fragrance for special occasions. Long-lasting scent with notes of jasmine, rose, and sandalwood. Perfect for evening wear and special events.",perfumes,n/a,Perfume,"/images/perfumes/luxury-perfume.jpg","/videos/perfume-demo.mp4"
Wedding Bouquet,156000,"Elegant wedding bouquet designed for your special day. Features premium flowers arranged in a romantic style. Customizable colors and flowers to match your theme.",wedding,white,Wedding Bouquet,"/images/wedding/wedding-bouquet-1.jpg|/images/wedding/wedding-bouquet-2.jpg","/videos/wedding-bouquet-demo.mp4"
Funeral Wreath,95000,"Respectful funeral wreath to honor your loved one. Beautifully arranged with white and pastel flowers. Available in various sizes and styles.",funerals,white,Funeral Wreath,"/images/funerals/funeral-wreath.jpg",""
Birthday Arrangement,65000,"Colorful birthday arrangement to celebrate another year of life. Bright, cheerful flowers arranged in a festive style. Perfect for any age celebration.",birthday,mixed,Birthday Arrangement,"/images/birthday/birthday-arrangement.jpg","/videos/birthday-demo.mp4"
Valentine Rose Box,89000,"Romantic red roses arranged in a beautiful gift box. Perfect for Valentine's Day or any romantic occasion. Includes decorative ribbon and card.",valentine,red,Valentine Box,"/images/valentine/rose-box.jpg","/videos/valentine-demo.mp4"
