name,price,description,category,color,type,images,videos
"Green Flower",45000,"Beautiful green flowers from Akazuba Florist. Hand-selected for their vibrant color and perfect bloom. Each flower is carefully chosen to ensure the highest quality and freshness.",flowers,green,Flower,"/images/placeholder-flower.jpg","/images/flowers/green/1 min video advertisemnet.mp4"
"Mixed Bouquet",78000,"Beautiful mixed bouquet featuring a carefully curated selection of premium flowers. Hand-arranged by our professional florists to create a harmonious blend of colors and textures. Ideal for celebrations, gifts, or brightening any space.",birthday,mixed,Bouquet,"/images/placeholder-flower.jpg",""
"Mixed 1",78000,"Beautiful mixed bouquet featuring a carefully curated selection of premium flowers. Hand-arranged by our professional florists to create a harmonious blend of colors and textures. Ideal for celebrations, gifts, or brightening any space.",birthday,mixed,Bouquet,"/images/placeholder-flower.jpg",""
"Mixed 10",78000,"Beautiful mixed bouquet featuring a carefully curated selection of premium flowers. Hand-arranged by our professional florists to create a harmonious blend of colors and textures. Ideal for celebrations, gifts, or brightening any space.",birthday,mixed,Bouquet,"/images/placeholder-flower.jpg",""
"Mixed 2",78000,"Beautiful mixed bouquet featuring a carefully curated selection of premium flowers. Hand-arranged by our professional florists to create a harmonious blend of colors and textures. Ideal for celebrations, gifts, or brightening any space.",birthday,mixed,Bouquet,"/images/placeholder-flower.jpg",""
"Mixed 3",78000,"Beautiful mixed bouquet featuring a carefully curated selection of premium flowers. Hand-arranged by our professional florists to create a harmonious blend of colors and textures. Ideal for celebrations, gifts, or brightening any space.",birthday,mixed,Bouquet,"/images/placeholder-flower.jpg",""
"Mixed 4",78000,"Beautiful mixed bouquet featuring a carefully curated selection of premium flowers. Hand-arranged by our professional florists to create a harmonious blend of colors and textures. Ideal for celebrations, gifts, or brightening any space.",birthday,mixed,Bouquet,"/images/placeholder-flower.jpg",""
"Mixed 5",78000,"Beautiful mixed bouquet featuring a carefully curated selection of premium flowers. Hand-arranged by our professional florists to create a harmonious blend of colors and textures. Ideal for celebrations, gifts, or brightening any space.",birthday,mixed,Bouquet,"/images/placeholder-flower.jpg",""
"Mixed 6",78000,"Beautiful mixed bouquet featuring a carefully curated selection of premium flowers. Hand-arranged by our professional florists to create a harmonious blend of colors and textures. Ideal for celebrations, gifts, or brightening any space.",birthday,mixed,Bouquet,"/images/placeholder-flower.jpg",""
"Mixed 7",78000,"Beautiful mixed bouquet featuring a carefully curated selection of premium flowers. Hand-arranged by our professional florists to create a harmonious blend of colors and textures. Ideal for celebrations, gifts, or brightening any space.",birthday,mixed,Bouquet,"/images/placeholder-flower.jpg",""
