name,description,price,category,categoryName,categoryIds,images,videos
"Green Flower","Beautiful green flowers from Akazuba Florist. Hand-selected for their vibrant color and perfect bloom. Each flower is carefully chosen to ensure the highest quality and freshness.",45000,"Special Occasions","Special Occasions","special-occasions","/images/placeholder-flower.jpg","/images/flowers/green/1 min video advertisemnet.mp4"
"Mized Colors","Beautiful mixed flowers from Akazuba Florist. Hand-selected for their vibrant color and perfect bloom. Each flower is carefully chosen to ensure the highest quality and freshness.",35000,"Special Occasions","Special Occasions","special-occasions","/images/flowers/mixed/mixed colors bouquet.jpg","/images/flowers/mixed/video of bouquet .mp4"
"Orange Flower","Beautiful orange flowers from Akazuba Florist. Hand-selected for their vibrant color and perfect bloom. Each flower is carefully chosen to ensure the highest quality and freshness.",35000,"Special Occasions","Special Occasions","special-occasions","/images/flowers/orange/orange-1.jpg",""
"Pink Flower","Beautiful pink flowers from Akazuba Florist. Hand-selected for their vibrant color and perfect bloom. Each flower is carefully chosen to ensure the highest quality and freshness.",35000,"Valentine","Valentine","valentine","/images/flowers/pink/full rose flowers with white cover.jpg",""
"Pink Gift Package 1","Premium pink flower arrangement with special gift packaging. Includes carefully selected flowers beautifully arranged with chocolates and other treats. Perfect for special occasions and thoughtful gifts.",120000,"Valentine","Valentine","valentine","/images/flowers/pink/heartshapped roses with short moet and chocolates.jpg",""
"Pink Flower 1","Beautiful pink flowers from Akazuba Florist. Hand-selected for their vibrant color and perfect bloom. Each flower is carefully chosen to ensure the highest quality and freshness.",35000,"Valentine","Valentine","valentine","/images/flowers/pink/home decor flowers in glass yellow and pink colors.jpg",""
"Pink Flower 2","Beautiful pink flowers from Akazuba Florist. Hand-selected for their vibrant color and perfect bloom. Each flower is carefully chosen to ensure the highest quality and freshness.",35000,"Valentine","Valentine","valentine","/images/flowers/pink/pink and cake and moet bouquet.jpg",""
"Pink Flower 3","Beautiful pink flowers from Akazuba Florist. Hand-selected for their vibrant color and perfect bloom. Each flower is carefully chosen to ensure the highest quality and freshness.",35000,"Valentine","Valentine","valentine","/images/flowers/pink/pink and while flowers with chocolate package.jpg",""
"Purple Bucket Bucket Arrangement","Stunning purple flowers arranged in an elegant bucket. This eye-catching arrangement brings natural beauty to any space. Great for home decoration, office spaces, or as a special gift.",65000,"Special Occasions","Special Occasions","special-occasions","/images/flowers/purple/purple bucket flowers.jpg",""
"Purple Gift Package","Premium purple flower arrangement with special gift packaging. Includes carefully selected flowers beautifully arranged with chocolates and other treats. Perfect for special occasions and thoughtful gifts.",120000,"Special Occasions","Special Occasions","special-occasions","/images/flowers/purple/purple flowers with chocolate package.jpg",""
"Purple Bucket Bucket Arrangement 1","Stunning purple flowers arranged in an elegant bucket. This eye-catching arrangement brings natural beauty to any space. Great for home decoration, office spaces, or as a special gift.",65000,"Special Occasions","Special Occasions","special-occasions","/images/flowers/purple/purple-bucket.jpg",""
"Red Flower","Beautiful red flowers from Akazuba Florist. Hand-selected for their vibrant color and perfect bloom. Each flower is carefully chosen to ensure the highest quality and freshness.",35000,"Valentine","Valentine","valentine","/images/flowers/red/basket package of mixed pink white yellow and red flowers.jpg","/images/flowers/red/roses red video.mp4"
"Red Gift Package 1","Premium red flower arrangement with special gift packaging. Includes carefully selected flowers beautifully arranged with chocolates and other treats. Perfect for special occasions and thoughtful gifts.",95000,"Valentine","Valentine","valentine","/images/flowers/red/green and red colors flowers.jpg","/images/flowers/red/roses red video.mp4"
"Red Flower 1","Beautiful red flowers from Akazuba Florist. Hand-selected for their vibrant color and perfect bloom. Each flower is carefully chosen to ensure the highest quality and freshness.",35000,"Valentine","Valentine","valentine","/images/flowers/red/heart shaped red white flowers bouquet .jpg","/images/flowers/red/roses red video.mp4"
"Red Flower 2","Beautiful red flowers from Akazuba Florist. Hand-selected for their vibrant color and perfect bloom. Each flower is carefully chosen to ensure the highest quality and freshness.",35000,"Valentine","Valentine","valentine","/images/flowers/red/mixed colors booket red coat.jpg","/images/flowers/red/roses red video.mp4"
"Red Flower 3","Beautiful red flowers from Akazuba Florist. Hand-selected for their vibrant color and perfect bloom. Each flower is carefully chosen to ensure the highest quality and freshness.",35000,"Valentine","Valentine","valentine","/images/flowers/red/red pink and jp chenet AND CHOXOLATE PACKAGE.jpg","/images/flowers/red/roses red video.mp4"
"Red Flower 4","Beautiful red flowers from Akazuba Florist. Hand-selected for their vibrant color and perfect bloom. Each flower is carefully chosen to ensure the highest quality and freshness.",35000,"Valentine","Valentine","valentine","/images/flowers/red/red-1.jpg","/images/flowers/red/roses red video.mp4"
"Red Flower 5","Beautiful red flowers from Akazuba Florist. Hand-selected for their vibrant color and perfect bloom. Each flower is carefully chosen to ensure the highest quality and freshness.",35000,"Valentine","Valentine","valentine","/images/flowers/red/red-2.jpg","/images/flowers/red/roses red video.mp4"
"Red Flower 6","Beautiful red flowers from Akazuba Florist. Hand-selected for their vibrant color and perfect bloom. Each flower is carefully chosen to ensure the highest quality and freshness.",35000,"Valentine","Valentine","valentine","/images/flowers/red/red-3.jpg","/images/flowers/red/roses red video.mp4"
"Red Flower 7","Beautiful red flowers from Akazuba Florist. Hand-selected for their vibrant color and perfect bloom. Each flower is carefully chosen to ensure the highest quality and freshness.",35000,"Valentine","Valentine","valentine","/images/flowers/red/red-4.jpg","/images/flowers/red/roses red video.mp4"
"Red Flower 8","Beautiful red flowers from Akazuba Florist. Hand-selected for their vibrant color and perfect bloom. Each flower is carefully chosen to ensure the highest quality and freshness.",35000,"Valentine","Valentine","valentine","/images/flowers/red/red-5.jpg","/images/flowers/red/roses red video.mp4"
"White Flower","Beautiful white flowers from Akazuba Florist. Hand-selected for their vibrant color and perfect bloom. Each flower is carefully chosen to ensure the highest quality and freshness.",35000,"Wedding","Wedding","wedding","/images/flowers/white/all yellow flowers with white cover(coat).jpg",""
"White Bucket Bucket Arrangement","Stunning white flowers arranged in an elegant bucket. This eye-catching arrangement brings natural beauty to any space. Great for home decoration, office spaces, or as a special gift.",65000,"Wedding","Wedding","wedding","/images/flowers/white/bucket flower of white blue and balloon .jpg",""
"Wedding Wedding Bouquet","Elegant white wedding bouquet designed for your special day. Features premium flowers arranged in a romantic style. Customizable to match your wedding theme and personal preferences.",156000,"Wedding","Wedding","wedding","/images/wedding/wedding while.jpg",""
"White Flower 1","Beautiful white flowers from Akazuba Florist. Hand-selected for their vibrant color and perfect bloom. Each flower is carefully chosen to ensure the highest quality and freshness.",35000,"Wedding","Wedding","wedding","/images/flowers/white/full white color bouquet.jpg",""
"White Flower 2","Beautiful white flowers from Akazuba Florist. Hand-selected for their vibrant color and perfect bloom. Each flower is carefully chosen to ensure the highest quality and freshness.",35000,"Wedding","Wedding","wedding","/images/flowers/white/wedding white flower2.jpg",""
"White Flower 3","Beautiful white flowers from Akazuba Florist. Hand-selected for their vibrant color and perfect bloom. Each flower is carefully chosen to ensure the highest quality and freshness.",35000,"Wedding","Wedding","wedding","/images/flowers/white/white-1.jpg",""
"Yellow Flower","Beautiful yellow flowers from Akazuba Florist. Hand-selected for their vibrant color and perfect bloom. Each flower is carefully chosen to ensure the highest quality and freshness.",35000,"Birthday","Birthday","birthday","/images/flowers/yellow/yellow-1.jpg",""
"Yellow Flower 1","Beautiful yellow flowers from Akazuba Florist. Hand-selected for their vibrant color and perfect bloom. Each flower is carefully chosen to ensure the highest quality and freshness.",35000,"Birthday","Birthday","birthday","/images/flowers/yellow/yellow-2.jpg",""
"Funeral Funeral Wreath","Respectful mixed funeral arrangement to honor your loved one. Beautifully crafted with care and compassion by our professional florists. Available in various sizes and styles.",120000,"Funerals","Funerals","funerals","/images/funerals/funeral many.jpg",""
"Funeral Funeral Wreath 1","Respectful mixed funeral arrangement to honor your loved one. Beautifully crafted with care and compassion by our professional florists. Available in various sizes and styles.",120000,"Funerals","Funerals","funerals","/images/funerals/funeral.jpg",""
"Premium Perfume 1","Premium fragrance inspired by nature's beauty. Long-lasting scent with exquisite floral notes that create an unforgettable impression. Perfect for those who appreciate the finer things in life.",125000,"Special Occasions","Special Occasions","special-occasions","/images/flowers/mixed/mixed-1.jpg","/images/flowers/mixed/video of bouquet .mp4"
"Premium Perfume 10","Premium fragrance inspired by nature's beauty. Long-lasting scent with exquisite floral notes that create an unforgettable impression. Perfect for those who appreciate the finer things in life.",125000,"Special Occasions","Special Occasions","special-occasions","/images/flowers/mixed/mixed-10.jpg","/images/flowers/mixed/video of bouquet .mp4"
"Premium Perfume 2","Premium fragrance inspired by nature's beauty. Long-lasting scent with exquisite floral notes that create an unforgettable impression. Perfect for those who appreciate the finer things in life.",125000,"Special Occasions","Special Occasions","special-occasions","/images/flowers/mixed/mixed-2.jpg","/images/flowers/mixed/video of bouquet .mp4"
"Premium Perfume 3","Premium fragrance inspired by nature's beauty. Long-lasting scent with exquisite floral notes that create an unforgettable impression. Perfect for those who appreciate the finer things in life.",125000,"Special Occasions","Special Occasions","special-occasions","/images/flowers/mixed/mixed-3.jpg","/images/flowers/mixed/video of bouquet .mp4"
"Premium Perfume 4","Premium fragrance inspired by nature's beauty. Long-lasting scent with exquisite floral notes that create an unforgettable impression. Perfect for those who appreciate the finer things in life.",125000,"Special Occasions","Special Occasions","special-occasions","/images/flowers/mixed/mixed-4.jpg","/images/flowers/mixed/video of bouquet .mp4"
"Premium Perfume 5","Premium fragrance inspired by nature's beauty. Long-lasting scent with exquisite floral notes that create an unforgettable impression. Perfect for those who appreciate the finer things in life.",125000,"Special Occasions","Special Occasions","special-occasions","/images/flowers/mixed/mixed-5.jpg","/images/flowers/mixed/video of bouquet .mp4"
"Premium Perfume 6","Premium fragrance inspired by nature's beauty. Long-lasting scent with exquisite floral notes that create an unforgettable impression. Perfect for those who appreciate the finer things in life.",125000,"Special Occasions","Special Occasions","special-occasions","/images/flowers/mixed/mixed-6.jpg","/images/flowers/mixed/video of bouquet .mp4"
"Premium Perfume 7","Premium fragrance inspired by nature's beauty. Long-lasting scent with exquisite floral notes that create an unforgettable impression. Perfect for those who appreciate the finer things in life.",125000,"Special Occasions","Special Occasions","special-occasions","/images/flowers/mixed/mixed-7.jpg","/images/flowers/mixed/video of bouquet .mp4"
"Premium Perfume 8","Premium fragrance inspired by nature's beauty. Long-lasting scent with exquisite floral notes that create an unforgettable impression. Perfect for those who appreciate the finer things in life.",125000,"Special Occasions","Special Occasions","special-occasions","/images/flowers/mixed/mixed-8.jpg","/images/flowers/mixed/video of bouquet .mp4"
"Premium Perfume 9","Premium fragrance inspired by nature's beauty. Long-lasting scent with exquisite floral notes that create an unforgettable impression. Perfect for those who appreciate the finer things in life.",125000,"Special Occasions","Special Occasions","special-occasions","/images/flowers/mixed/mixed-9.jpg","/images/flowers/mixed/video of bouquet .mp4"
